#
# National Water Information System
# 2018/03/05
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	parm_nm	fxd_va	fxd_tx
00067	Tide stage	5321	Mean tide level; wi 40 min; measured; Max ebb current
00067	Tide stage	5322	Mean tide level; wi 40 min; measured; Max flood current
00067	Tide stage	5400	Mean tide level; wi 20 min
00067	Tide stage	5401	Mean tide level; wi 20 min; Max ebb current
00067	Tide stage	5402	Mean tide level; wi 20 min; Max flood current
00067	Tide stage	5410	Mean tide level; wi 20 min; C&GS table
00067	Tide stage	5411	Mean tide level; wi 20 min; C&GS table; Max ebb current
00067	Tide stage	5412	Mean tide level; wi 20 min; C&GS table; Max flood current
00067	Tide stage	5420	Mean tide level; wi 20 min; measured
00067	Tide stage	5421	Mean tide level; wi 20 min; measured; Max ebb current
00067	Tide stage	5422	Mean tide level; wi 20 min; measured; Max flood current
00067	Tide stage	5500	Mean tide level; wi 10 min
00067	Tide stage	5501	Mean tide level; wi 10 min; Max ebb current
00067	Tide stage	5502	Mean tide level; wi 10 min; Max flood current
00067	Tide stage	5510	Mean tide level; wi 10 min; C&GS table
00067	Tide stage	5511	Mean tide level; wi 10 min; C&GS table; Max ebb current
00067	Tide stage	5512	Mean tide level; wi 10 min; C&GS table; Max flood current
00067	Tide stage	5520	Mean tide level; wi 10 min; measured
00067	Tide stage	5521	Mean tide level; wi 10 min; measured; Max ebb current
00067	Tide stage	5522	Mean tide level; wi 10 min; measured; Max flood current
00067	Tide stage	5600	Mean tide level; wi 5 min
00067	Tide stage	5601	Mean tide level; wi 5 min; Max ebb current
00067	Tide stage	5602	Mean tide level; wi 5 min; Max flood current
00067	Tide stage	5610	Mean tide level; wi 5 min; C&GS table
00067	Tide stage	5611	Mean tide level; wi 5 min; C&GS table; Max ebb current
00067	Tide stage	5612	Mean tide level; wi 5 min; C&GS table; Max flood current
00067	Tide stage	5620	Mean tide level; wi 5 min; measured
00067	Tide stage	5621	Mean tide level; wi 5 min; measured; Max ebb current
00067	Tide stage	5622	Mean tide level; wi 5 min; measured; Max flood current
00115	Sample treatment	1	Raw
00115	Sample treatment	2	Treated
00115	Sample treatment	3	Wastewater
00115	Sample treatment	4	Drinking Water
01300	Oil & grease, severity	0	None
01300	Oil & grease, severity	1	Mild
01300	Oil & grease, severity	2	Moderate
01300	Oil & grease, severity	3	Serious
01300	Oil & grease, severity	4	Extreme
01305	Suds or foam, severity	0	None
01305	Suds or foam, severity	1	Mild
01305	Suds or foam, severity	2	Moderate
01305	Suds or foam, severity	3	Serious
01305	Suds or foam, severity	4	Extreme
01310	Gas bubbles,severity	0	None
01310	Gas bubbles,severity	1	Mild
01310	Gas bubbles,severity	2	Moderate
01310	Gas bubbles,severity	3	Serious
01310	Gas bubbles,severity	4	Extreme
01315	Floating sludge, severity	0	None
01315	Floating sludge, severity	1	Mild
01315	Floating sludge, severity	2	Moderate
01315	Floating sludge, severity	3	Serious
01315	Floating sludge, severity	4	Extreme
01320	Float.Garbage, svrty	0	None
01320	Float.Garbage, svrty	1	Mild
01320	Float.Garbage, svrty	2	Moderate
01320	Float.Garbage, svrty	3	Serious
01320	Float.Garbage, svrty	4	Extreme
01325	Floating algae mats, severity	0	None
01325	Floating algae mats, severity	1	Mild
01325	Floating algae mats, severity	2	Moderate
01325	Floating algae mats, severity	3	Serious
01325	Floating algae mats, severity	4	Extreme
01330	Odor, severity	0	None
01330	Odor, severity	1	Mild
01330	Odor, severity	2	Moderate
01330	Odor, severity	3	Serious
01330	Odor, severity	4	Extreme
01335	Sewage solids, severity	0	None
01335	Sewage solids, severity	1	Mild
01335	Sewage solids, severity	2	Moderate
01335	Sewage solids, severity	3	Serious
01335	Sewage solids, severity	4	Extreme
01340	Dead fish, severity	0	None
01340	Dead fish, severity	1	Mild
01340	Dead fish, severity	2	Moderate
01340	Dead fish, severity	3	Serious
01340	Dead fish, severity	4	Extreme
01345	Floating debris, severity	0	None
01345	Floating debris, severity	1	Mild
01345	Floating debris, severity	2	Moderate
01345	Floating debris, severity	3	Serious
01345	Floating debris, severity	4	Extreme
01350	Turbidity, severity	0	None
01350	Turbidity, severity	1	Mild
01350	Turbidity, severity	2	Moderate
01350	Turbidity, severity	3	Serious
01350	Turbidity, severity	4	Extreme
01351	Streamflow, severity	1	Dry
01351	Streamflow, severity	2	Low
01351	Streamflow, severity	3	Normal
01351	Streamflow, severity	4	Flood
01351	Streamflow, severity	5	Above normal
01355	Ice cover, severity	0	None
01355	Ice cover, severity	1	Mild
01355	Ice cover, severity	2	Moderate
01355	Ice cover, severity	3	Serious
01355	Ice cover, severity	4	Extreme
04117	Tether line used	0	No
04117	Tether line used	1	Yes
31678	Fecal strep,AD-EVA broth,tube	1	Five 10-mL tubes
31678	Fecal strep,AD-EVA broth,tube	2	Five 10-mL, five 1-mL and five 0.1-mL tubes
31678	Fecal strep,AD-EVA broth,tube	3	Five 10-mL, one 1-mL and one 0.1-mL tubes
31678	Fecal strep,AD-EVA broth,tube	4	One 50-mL and five 10-mL tubes
31678	Fecal strep,AD-EVA broth,tube	5	One 50-mL, five 10-mL and five 1-mL tubes
31678	Fecal strep,AD-EVA broth,tube	6	Five 50-mL, five 10-mL and five 1-mL tubes
31678	Fecal strep,AD-EVA broth,tube	7	Three 10-mL, three 1-mL and three 0.1-mL tubes
31678	Fecal strep,AD-EVA broth,tube	8	Five 100-mL, five 10-mL and five 1-mL tubes
31696	IRB biotester RPS, water	4100	Brown Ring, Brown Cloudy
31696	IRB biotester RPS, water	4600	Brown Ring, Foam
31696	IRB biotester RPS, water	4610	Brown Ring, Foam, Brown Cloudy
31696	IRB biotester RPS, water	5100	Cloudy Growth, Brown Cloudy
31696	IRB biotester RPS, water	5140	Cloudy Growth, Brown Cloudy, Brown Ring
31696	IRB biotester RPS, water	5199	Cloudy Growth, Brown Cloudy, other
31696	IRB biotester RPS, water	5200	Cloudy Growth, Brown Gel
31696	IRB biotester RPS, water	5299	Cloudy Growth, Brown Gel, other
31696	IRB biotester RPS, water	5300	Cloudy Growth, Blackened Liquid
31696	IRB biotester RPS, water	5400	Cloudy Growth, Brown Ring
31696	IRB biotester RPS, water	5499	Cloudy Growth, Brown Ring, other
31696	IRB biotester RPS, water	5600	Cloudy Growth, Foam
31696	IRB biotester RPS, water	5699	Cloudy Growth, Foam, other
31696	IRB biotester RPS, water	5700	Cloudy Growth, Green Cloudy
31696	IRB biotester RPS, water	5800	Cloudy Growth, Red Cloudy
31696	IRB biotester RPS, water	6000	Foam
31696	IRB biotester RPS, water	6100	Foam, Brown Cloudy
31696	IRB biotester RPS, water	6120	Foam, Brown Cloudy, Brown Gel
31696	IRB biotester RPS, water	6130	Foam, Brown Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6140	Foam, Brown Cloudy, Brown Ring
31696	IRB biotester RPS, water	6143	Foam, Brown Cloudy, Brown Ring, Blackened Liquid
31696	IRB biotester RPS, water	6199	Foam, Brown Cloudy, other
31696	IRB biotester RPS, water	6200	Foam, Brown Gel
31696	IRB biotester RPS, water	6240	Foam, Brown Gel, Brown Ring
31696	IRB biotester RPS, water	6243	Foam, Brown Gel, Brown Ring, Blackened Liquid
31696	IRB biotester RPS, water	6283	Foam, Brown Gel, Red Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6299	Foam, Brown Gel, other
31696	IRB biotester RPS, water	0	No reaction
31696	IRB biotester RPS, water	4000	Brown Ring
31696	IRB biotester RPS, water	6430	Foam, Brown Ring, Blackened Liquid
31696	IRB biotester RPS, water	6470	Foam, Brown Ring, Green Cloudy
31696	IRB biotester RPS, water	6473	Foam, Brown Ring, Green Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6499	Foam, Grown Ring, other
31696	IRB biotester RPS, water	6500	Foam, Cloudy Growth
31696	IRB biotester RPS, water	6599	Foam, Cloudy Growth, other
31696	IRB biotester RPS, water	6700	Foam, Green Cloudy
31696	IRB biotester RPS, water	6720	Foam, Green Cloudy, Brown Gel
31696	IRB biotester RPS, water	6730	Foam, Green Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6780	Foam, Green Cloudy, Red Cloudy
31696	IRB biotester RPS, water	6799	Foam, Green Cloudy, other
31696	IRB biotester RPS, water	6800	Foam, Red Cloudy
31696	IRB biotester RPS, water	6830	Foam, Red Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6840	Foam, Red Cloudy, Brown Ring
31696	IRB biotester RPS, water	6843	Foam, Red Cloudy, Brown Ring, Blackened Liquid
31696	IRB biotester RPS, water	7000	Green Cloudy
31696	IRB biotester RPS, water	7300	Green Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	7999	Green Cloudy, other
31696	IRB biotester RPS, water	8300	Red Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	8400	Red Cloudy, Brown Ring
31696	IRB biotester RPS, water	8600	Red Cloudy, Foam
31696	IRB biotester RPS, water	8999	Red Cloudy, other
31696	IRB biotester RPS, water	9999	Other
31696	IRB biotester RPS, water	6300	Foam, Blackened Liquid
31696	IRB biotester RPS, water	6340	Foam, Blackened Liquid, Brown Ring
31696	IRB biotester RPS, water	6400	Foam, Brown Ring
31696	IRB biotester RPS, water	6410	Foam, Brown Ring, Brown Cloudy
31696	IRB biotester RPS, water	6413	Foam, Brown Ring, Brown Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6420	Foam, Brown Ring, Brown Gel
31696	IRB biotester RPS, water	6423	Foam, Brown Ring, Brown Gel, Blackened Liquid
31696	IRB biotester RPS, water	6427	Foam, Brown Ring, Brown Gel, Green Cloudy
31696	IRB biotester RPS, water	2180	Brown Gel, Brown Cloudy, Red Cloudy
31696	IRB biotester RPS, water	4160	Brown Ring, Brown Cloudy, Foam
31696	IRB biotester RPS, water	4200	Brown Ring, Brown Gel
31696	IRB biotester RPS, water	4627	Brown Ring, Foam, Brown Gel, Green Cloudy
31696	IRB biotester RPS, water	6124	Foam, Brown Cloudy, Brown Gel, Brown Ring
31696	IRB biotester RPS, water	6142	Foam, Brown Cloudy, Brown Ring, Brown Gel
31696	IRB biotester RPS, water	6147	Foam, Brown Cloudy, Brown Ring, Green Cloudy
31696	IRB biotester RPS, water	6173	Foam, Brown Cloudy, Green Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6183	Foam, Brown Cloudy, Red Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6184	Foam, Brown Cloudy, Red Cloudy, Brown Ring
31696	IRB biotester RPS, water	6214	Foam, Brown Gel, Brown Cloudy, Brown Ring
31696	IRB biotester RPS, water	6217	Foam, Brown Gel, Brown Cloudy, Green Cloudy
31696	IRB biotester RPS, water	6234	Foam, Brown Gel, Blackened Liquid, Brown Ring
31696	IRB biotester RPS, water	6241	Foam, Brown Gel, Brown Ring, Brown Cloudy
31696	IRB biotester RPS, water	6247	Foam, Brown Gel, Brown Ring, Green Cloudy
31696	IRB biotester RPS, water	6270	Foam, Brown Gel, Green Cloudy
31696	IRB biotester RPS, water	6370	Foam, Blackened Liquid, Green Cloudy
31696	IRB biotester RPS, water	6412	Foam, Brown Ring, Brown Cloudy, Brown Gel
31696	IRB biotester RPS, water	6418	Foam, Brown Ring, Brown Cloudy, Red Cloudy
31696	IRB biotester RPS, water	6421	Foam, Brown Ring, Brown Cloudy, Brown Cloudy
31696	IRB biotester RPS, water	6480	Foam, Brown Ring, Red Cloudy
31696	IRB biotester RPS, water	6483	Foam, Brown Ring, Red Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6723	Foam, Green Cloudy, Brown Gel, Blackened Liquid
31696	IRB biotester RPS, water	6740	Foam, Green Cloudy, Brown Ring
31696	IRB biotester RPS, water	6743	Foam, Green Cloudy, Brown Ring, Blackened Liquid
31696	IRB biotester RPS, water	7400	Green Cloudy, Brown Ring
31696	IRB biotester RPS, water	7600	Green Cloudy, Foam
31696	IRB biotester RPS, water	8000	Red Cloudy
31696	IRB biotester RPS, water	4730	Brown Ring, Green Cloudy, Blackened Liquid
31696	IRB biotester RPS, water	6417	Foam, Brown Ring, Brown Cloudy, Green Cloudy
31696	IRB biotester RPS, water	6741	Foam, Green Cloudy, Brown Ring, Brown Cloudy
31698	SRB biotester RPS, water	0	No reaction
31698	SRB biotester RPS, water	1000	Black Base and Top
31698	SRB biotester RPS, water	2000	Blackened Base
31698	SRB biotester RPS, water	2100	Blackened Base then All Black
31698	SRB biotester RPS, water	3000	Blackened Top
31698	SRB biotester RPS, water	3100	Blackened Top then All Black
31698	SRB biotester RPS, water	4000	Cloudy Growth Only
31699	SFB biotester RPS, water	2100	Cloudy Growth, Blackened Liquid
31699	SFB biotester RPS, water	2600	Cloudy Growth, Pale Blue Glow in UV Light
31699	SFB biotester RPS, water	2500	Cloudy Growth, Greenish-Yellow Glow in UV
31699	SFB biotester RPS, water	8200	Thread-Like Strands, Cloudy Growth
31699	SFB biotester RPS, water	4210	Dense Slime, Cloudy Growth Blackened Liquid
31699	SFB biotester RPS, water	9999	Other
31699	SFB biotester RPS, water	0	No reaction
31699	SFB biotester RPS, water	4200	Dense Slime, Cloudy Growth
31699	SFB biotester RPS, water	7200	Slime Ring around Ball, Cloudy Growth
31699	SFB biotester RPS, water	3200	Cloudy Plates Layering, Cloudy Growth
31699	SFB biotester RPS, water	2700	Cloudy Growth, Slime Ring around Ball
31699	SFB biotester RPS, water	2340	Cloudy Growth, Cloudy Plates Layering, Dense Slime
31699	SFB biotester RPS, water	2400	Cloudy Growth, Dense Slime
31699	SFB biotester RPS, water	2740	Cloudy Growth, Slime Ring around Ball, Dense Slime
31699	SFB biotester RPS, water	2874	Cloudy Growth, Thread-like Strands, Slime Ring around Ball, Dense Slime
31699	SFB biotester RPS, water	4000	Dense Slime
31699	SFB biotester RPS, water	4300	Dense Slime, Cloudy Plates Layering
49986	Degree of decomposition, soil	1	Fibrix
49986	Degree of decomposition, soil	2	Hemic
49986	Degree of decomposition, soil	3	Sapric
50276	Filter type	10	Gelman capsule, 0.45um
50276	Filter type	20	Membrane, 0.45um, 142mm
50276	Filter type	30	Membrane, 0.45um, 47mm
50276	Filter type	40	Membrane, 0.22um, 47mm
50276	Filter type	50	Membrane, 0.1um, 47mm
50276	Filter type	60	Membrane, 0.1um, 142mm
50276	Filter type	70	Membrane, syringe-type, 0.45um
50276	Filter type	80	Membrane, syringe-type, 0.22um
50276	Filter type	90	Silver membrane, 0.45um, 47mm
50276	Filter type	100	Glass fiber, 0.7um, 142mm
50276	Filter type	110	Glass fiber, baked, 0.7um, 142mm
50276	Filter type	120	Glass fiber, 0.7um, 47mm
50276	Filter type	130	Glass fiber, baked, 0.7um, 47mm
50276	Filter type	200	Other
50276	Filter type	65	Membrane, syringe-type, 0.7um pore, 25mm dia.
50276	Filter type	140	Membrane, Hollow-fiber ultrafilter 30kDa molecular cutoff
50276	Filter type	150	Glass fiber, cartridge, Alumina-infused positive ionic, 2um pore
50276	Filter type	160	Membrane, filter papers, 5um pore, 3.5in diameter
50280	Site visit purpose	1001	Fixed frequency, surface-water
50280	Site visit purpose	1002	Storm hydrograph, surface-water
50280	Site visit purpose	1003	Extreme high flow, surface-water
50280	Site visit purpose	1004	Extreme low flow, surface-water
50280	Site visit purpose	1005	Diurnal, surface-water
50280	Site visit purpose	1006	Synoptic, surface-water
50280	Site visit purpose	1098	Surface-water quality control
50280	Site visit purpose	1099	Other, surface-water
50280	Site visit purpose	1501	Synoptic, Hyporheic zone
50280	Site visit purpose	1502	Low flow, Hyporheic zone
50280	Site visit purpose	1503	High flow, Hyporheic zone
50280	Site visit purpose	2001	Primary, groundwater
50280	Site visit purpose	2002	Supplemental, groundwater
50280	Site visit purpose	2003	Temporal characterization, groundwater
50280	Site visit purpose	2004	Resample, groundwater
50280	Site visit purpose	2098	Groundwater quality control
50280	Site visit purpose	2099	Other, groundwater
50280	Site visit purpose	3001	Occurrence Survey, bed sediment or tissue
50280	Site visit purpose	3002	Spatial distribution survey, bed sediment or tissue
50280	Site visit purpose	3003	Synoptic study, bed sediment or tissue
50280	Site visit purpose	3098	Bed sediment or tissue quality control
50280	Site visit purpose	3099	Other, bed sediment or tissue
50280	Site visit purpose	4001	Reconstructive trends from sediment core
50280	Site visit purpose	5051	Sample collected during site installation, any media
50280	Site visit purpose	5052	Event-based (runoff or recharge conditions), any media
50280	Site visit purpose	5053	Fixed frequency (non event-based), any media
50280	Site visit purpose	5098	QA/QC, media other than SW, GW, or BS&T
50280	Site visit purpose	5099	Other purpose, any media
50280	Site visit purpose	5054	Synoptic study, any media
50280	Site visit purpose	1007	Oil spill response
62955	Sample matrix	70	Soil
62955	Sample matrix	80	Borehole core
62955	Sample matrix	90	Borehole cuttings
71995	Water use, primary	111	cash grains
71995	Water use, primary	131	Field crops - except cash grains
71995	Water use, primary	161	Vegetables and melons
71995	Water use, primary	171	Fruits and tree nuts
71995	Water use, primary	181	Horticultural specialties
71995	Water use, primary	191	General farm crops
71995	Water use, primary	211	Livestock
71995	Water use, primary	251	Poultry and eggs
71995	Water use, primary	271	Animal specialties
71995	Water use, primary	291	General farms - primarily livestock
71995	Water use, primary	711	Agricultural services - soil prep, crop plantings, etc.
71995	Water use, primary	741	Veterinary services
71995	Water use, primary	761	Animal services, farm labor and management
71995	Water use, primary	811	Forestry
71995	Water use, primary	912	Fish and wildlife farming
71995	Water use, primary	1011	Metal mining
71995	Water use, primary	1111	Anthracite mining
71995	Water use, primary	1211	Bituminous coal and lignite mining
71995	Water use, primary	1311	Oil and gas extraction
71995	Water use, primary	1411	Mining and quarrying of nonmetalic minerals, - nonfuel
71995	Water use, primary	1521	Building construction
71995	Water use, primary	1611	Construction - other than building
71995	Water use, primary	1711	Special trade (plumbing, heat, air, elec., masonry, etc.)
71995	Water use, primary	2011	Manufacturing - meat products
71995	Water use, primary	2016	Poultry and egg plants
71995	Water use, primary	2021	Dairy products
71995	Water use, primary	2032	Canned & preserved fruits and vegetables
71995	Water use, primary	2041	Grain mill products
71995	Water use, primary	2051	Bakery products
71995	Water use, primary	2061	Sugar and confectionery products
71995	Water use, primary	2074	Fats and oils
71995	Water use, primary	2084	Beverages - alcoholic & soft drinks, syrups & extracts
71995	Water use, primary	2091	Miscellaneous food preparations
71995	Water use, primary	2111	Tobacco manufacturers
71995	Water use, primary	2211	Textile mill products
71995	Water use, primary	2311	Apparel - products from fabrics
71995	Water use, primary	2411	Lumber & wood products except furniture
71995	Water use, primary	2511	Furniture and fixtures
71995	Water use, primary	2611	Paper and allied products
71995	Water use, primary	2711	Printing, publishing, & allied industries
71995	Water use, primary	2821	Chemicals and allied products
71995	Water use, primary	2911	Petroleum refining and related products
71995	Water use, primary	3011	Rubber and miscellaneous plastic products
71995	Water use, primary	3111	Leather and leather products
71995	Water use, primary	3211	Stone, clay, glass, and concrete products
71995	Water use, primary	3281	Cut stone and stone products
71995	Water use, primary	3291	Abrasive, asbestos, & miscellaneous nonmetalic products
71995	Water use, primary	3312	Blast furnaces, steel works, & rolling & finishing mills
71995	Water use, primary	3411	Metal products & trans. equipment (no machinery)
71995	Water use, primary	3511	Machinery, except electrical
71995	Water use, primary	3612	Electrical & electronic machinery, equipment & supplies
71995	Water use, primary	3711	Transportation equipment repairing and parts
71995	Water use, primary	3811	Measuring, analyzing, & controlling instruments
71995	Water use, primary	3911	Miscellaneous manufacturing industries
71995	Water use, primary	4011	Transportation - trains, taxicabs, aircraft
71995	Water use, primary	4212	Motor freight transportation and warehousing
71995	Water use, primary	4311	U.S. postal service
71995	Water use, primary	4411	Water transportation
71995	Water use, primary	4423	Water recreation on bays, lakes, rivers, & canals
71995	Water use, primary	4511	Transportation by air
71995	Water use, primary	4612	Pipelines - except natural gas
71995	Water use, primary	4811	Communications
71995	Water use, primary	4922	Gas production and distribution; elec. and gas service
71995	Water use, primary	4941	Water supply
71995	Water use, primary	4952	Sewerage systems
71995	Water use, primary	4961	Public steam supply
71995	Water use, primary	4971	Irrigation systems
71995	Water use, primary	5012	Wholesale trade - durable goods
71995	Water use, primary	5111	Wholesale trade - nondurable goods
71995	Water use, primary	5211	Building materials, hardware, garden supply
71995	Water use, primary	5311	General merchandise stores
71995	Water use, primary	5411	Food stores
71995	Water use, primary	5511	Auto. dealers and gasoline service stations
71995	Water use, primary	5611	Apparel and accessory stores
71995	Water use, primary	5712	Furniture, home furnishing, and equipment stores
71995	Water use, primary	5812	Eating and drinking places
71995	Water use, primary	5912	Miscellaneous retail - drug, liquor, book, camera, etc.
71995	Water use, primary	6011	Banking
71995	Water use, primary	6112	Credit agencies
71995	Water use, primary	6212	Security and commodity brokers, dealers, and services
71995	Water use, primary	6311	Insurance
71995	Water use, primary	6512	Real estate
71995	Water use, primary	6711	Holding and other investment offices
71995	Water use, primary	7011	Hotels, motels, tourist courts
71995	Water use, primary	7021	Rooming and boarding houses
71995	Water use, primary	7032	Camps, transient trailer parks, & camp sites
71995	Water use, primary	7041	Organization hotels and membership lodging houses
71995	Water use, primary	7211	Laundry, cleaning, and garment services
71995	Water use, primary	7221	Shops - photo, beauty, barber, shoe, funeral services
71995	Water use, primary	7311	Advertising services
71995	Water use, primary	7321	Consumer credit and collection
71995	Water use, primary	7331	Mailing, reproduction, commercial art & photography
71995	Water use, primary	7341	Service to dwellings and other buildings
71995	Water use, primary	7351	News syndicates
71995	Water use, primary	7361	Employment services
71995	Water use, primary	7372	Computer and data processing
71995	Water use, primary	7391	Miscellaneous business services
71995	Water use, primary	7512	Automotive and truck rental leasing without driver
71995	Water use, primary	7523	Automobile parking
71995	Water use, primary	7531	Automotive repair shops
71995	Water use, primary	7542	Car washes
71995	Water use, primary	7549	Automotive services - except repair
71995	Water use, primary	7622	Miscellaneous repair services
71995	Water use, primary	7813	Motion picture-t.v. services, theaters, except drive-ins
71995	Water use, primary	7911	Recreation services, except theaters and public golf
71995	Water use, primary	7992	Public golf courses
71995	Water use, primary	7993	Coin operated amusement devices
71995	Water use, primary	7996	Amusement parks, sports and recreation clubs, etc.
71995	Water use, primary	8011	Health services (offices)
71995	Water use, primary	8051	Nursing and personal care facilities
71995	Water use, primary	8062	Hospitals
71995	Water use, primary	8071	Medical and dental laboratories
71995	Water use, primary	8081	Outpatient care fac
71995	Water use, primary	8091	Health & allies services, not elsewhere classified
71995	Water use, primary	8111	Legal services
71995	Water use, primary	8211	Educational services, libraries and information centers
71995	Water use, primary	8231	Social services & rehabilitation centers
71995	Water use, primary	8411	Museums, art galleries, zoological & botanical gardens
71995	Water use, primary	8611	Membership organizations
71995	Water use, primary	8811	Private houses, condos, municipalities, & trailer parks
71995	Water use, primary	8911	Miscellaneous services (eng.,ed., r&d, accounting, etc.)
71995	Water use, primary	9111	Gov., legislative, justice, public order & safety misc.
71995	Water use, primary	9411	Administration of human resources programs
71995	Water use, primary	9511	Air & water resource, & solid waste management
71995	Water use, primary	9512	Natural resource conservation by public administration
71995	Water use, primary	9531	Admin. of housing & economic programs & internat'l affairs
71995	Water use, primary	9999	Water compacts, agreements & legislative actions
71995	Water use, primary	14911	Commercial electric energy establishments - fossil
71995	Water use, primary	24911	Commercial electric energy establishments - geothermal
71995	Water use, primary	34911	Commercial electric energy establishments - hydroelectric
71995	Water use, primary	44911	Commercial electric energy establishments - nuclear
71996	Water use, secondary	111	Cash grains
71996	Water use, secondary	131	Field crops - except cash grains
71996	Water use, secondary	161	Vegetables and melons
71996	Water use, secondary	171	Fruits and tree nuts
71996	Water use, secondary	181	Horticultural specialties
71996	Water use, secondary	191	General farm crops
71996	Water use, secondary	211	Livestock
71996	Water use, secondary	251	Poultry and eggs
71996	Water use, secondary	271	Animal specialties
71996	Water use, secondary	291	General farms - primarily livestock
71996	Water use, secondary	711	Agricultural services - soil prep, crop plantings, etc.
71996	Water use, secondary	741	Veterinary services
71996	Water use, secondary	761	Animal services, farm labor and management
71996	Water use, secondary	811	Forestry
71996	Water use, secondary	912	Fish and wildlife farming
71996	Water use, secondary	1011	Metal mining
71996	Water use, secondary	1111	Anthracite mining
71996	Water use, secondary	1211	Bituminous coal and lignite mining
71996	Water use, secondary	1311	Oil and gas extraction
71996	Water use, secondary	1411	Mining and quarrying of nonmetalic minerals, - nonfuel
71996	Water use, secondary	1521	Building construction
71996	Water use, secondary	1611	Construction - other than building
71996	Water use, secondary	1711	Special trade (plumbing, heat, air, elec., masonry, etc.)
71996	Water use, secondary	2011	Manufacturing - meat products
71996	Water use, secondary	2016	Poultry and egg plants
71996	Water use, secondary	2021	Dairy products
71996	Water use, secondary	2032	Canned & preserved fruits and vegetables
71996	Water use, secondary	2041	Grain mill products
71996	Water use, secondary	2051	Bakery products
71996	Water use, secondary	2061	Sugar and confectionery products
71996	Water use, secondary	2074	Fats and oils
71996	Water use, secondary	2084	Beverages - alcoholic & soft drinks, syrups & extracts
71996	Water use, secondary	2091	Miscellaneous food preparations
71996	Water use, secondary	2111	Tobacco manufacturers
71996	Water use, secondary	2211	Textile mill products
71996	Water use, secondary	2311	Apparel - products from fabrics
71996	Water use, secondary	2411	Lumber & wood products except furniture
71996	Water use, secondary	2511	Furniture and fixtures
71996	Water use, secondary	2611	Paper and allied products
71996	Water use, secondary	2711	Printing, publishing, & allied industries
71996	Water use, secondary	2821	Chemicals and allied products
71996	Water use, secondary	2911	Petroleum refining and related products
71996	Water use, secondary	3011	Rubber and miscellaneous plastic products
71996	Water use, secondary	3111	Leather and leather products
71996	Water use, secondary	3211	Stone, clay, glass, and concrete products
71996	Water use, secondary	3281	Cut stone and stone products
71996	Water use, secondary	3291	Abrasive, asbestos, & miscellaneous nonmetalic products
71996	Water use, secondary	3312	Blast furnaces, steel works, & rolling & finishing mills
71996	Water use, secondary	3411	Metal products & trans. equipment (no machinery)
71996	Water use, secondary	3511	Machinery, except electrical
71996	Water use, secondary	3612	Electrical & electronic machinery, equipment & supplies
71996	Water use, secondary	3711	Transportation equipment repairing and parts
71996	Water use, secondary	3811	Measuring, analyzing, & controlling instruments
71996	Water use, secondary	3911	Miscellaneous manufacturing industries
71996	Water use, secondary	4011	Transportation - trains, taxicabs, aircraft
71996	Water use, secondary	4212	Motor freight transportation and warehousing
71996	Water use, secondary	4311	U.S. postal service
71996	Water use, secondary	4411	Water transportation
71996	Water use, secondary	4423	Water recreation on bays, lakes, rivers, & canals
71996	Water use, secondary	4511	Transportation by air
71996	Water use, secondary	4612	Pipelines - except natural gas
71996	Water use, secondary	4811	Communications
71996	Water use, secondary	4922	Gas production and distribution; elec. and gas service
71996	Water use, secondary	4941	Water supply
71996	Water use, secondary	4952	Sewerage systems
71996	Water use, secondary	4961	Public steam supply
71996	Water use, secondary	4971	Irrigation systems
71996	Water use, secondary	5012	Wholesale trade - durable goods
71996	Water use, secondary	5111	Wholesale trade - nondurable goods
71996	Water use, secondary	5211	Building materials, hardware, garden supply
71996	Water use, secondary	5311	General merchandise stores
71996	Water use, secondary	5411	Food stores
71996	Water use, secondary	5511	Auto. dealers and gasoline service stations
71996	Water use, secondary	5611	Apparel and accessory stores
71996	Water use, secondary	5712	Furniture, home furnishing, and equipment stores
71996	Water use, secondary	5812	Eating and drinking places
71996	Water use, secondary	5912	Miscellaneous retail - drug, liquor, book, camera, etc.
71996	Water use, secondary	6011	Banking
71996	Water use, secondary	6112	Credit agencies
71996	Water use, secondary	6212	Security and commodity brokers, dealers, and services
71996	Water use, secondary	6311	Insurance
71996	Water use, secondary	6512	Real estate
71996	Water use, secondary	6711	Holding and other investment offices
71996	Water use, secondary	7011	Hotels, motels, tourist courts
71996	Water use, secondary	7021	Rooming and boarding houses
71996	Water use, secondary	7032	Camps, transient trailer parks, & camp sites
71996	Water use, secondary	7041	Organization hotels and membership lodging houses
71996	Water use, secondary	7211	Laundry, cleaning, and garment services
71996	Water use, secondary	7221	Shops - photo, beauty, barber, shoe, funeral services
